comparison_score,target_path,target_type,target_subject,verdict,reasons,raw_hash_match,canonical_hash_match,body_hash_match,attachment_match_count,simhash_distance,token_jaccard,semantic_cosine
1170.0,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Africa Directors Summit, 21 - 24 November 2023, Lagoon Beach Hotel, Cape Town, South Africa.eml",eml,"2nd Africa Directors Summit, 21 - 24 November 2023, Lagoon Beach Hotel, Cape Town, South Africa",IDENTICAL,raw_sha256_match;canonical_sha256_match,1,1,1,2,0.0,1.0,
88.28,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th AFRICA DIRECTOR'S SUMMIT, 19-22 NOVEMBER 2024, LAGOON BEACH HOTEL, CAPE TOWN, RSA.eml",eml,"4th AFRICA DIRECTOR'S SUMMIT, 19-22 NOVEMBER 2024, LAGOON BEACH HOTEL, CAPE TOWN, RSA",UNRELATED,,0,0,0,0,8.0,0.32275132275132273,
87.6,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\AFRICA OCCUPATIONAL HEALTH & SAFETY TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL.eml",eml,"AFRICA OCCUPATIONAL HEALTH & SAFETY TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL",UNRELATED,,0,0,0,0,11.0,0.3460490463215259,
77.0,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\AFRICA OCCUPATIONAL SAFETY & HEALTH TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL & CONFERENCE CENTRE, JOHANNESBURG.eml",eml,"AFRICA OCCUPATIONAL SAFETY & HEALTH TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL & CONFERENCE CENTRE, JOHANNESBURG",UNRELATED,,0,0,0,0,10.0,0.229957805907173,
74.95,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Employee Health, Wellness And HIV_AIDS Conference.eml",eml,"2nd Employee Health, Wellness And HIV/AIDS Conference",UNRELATED,,0,0,0,0,16.0,0.2694736842105263,
74.63,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\CPD POINTS PVT 887 DRONES AND UNMANNED AVIATION CONFERENCE, 1-2 JUNE 2023 AT BIRCHWOOD HOTEL, JOHANNESBURG, RSA.eml",eml,"CPD POINTS PVT 887 DRONES AND UNMANNED AVIATION CONFERENCE, 1-2 JUNE 2023 AT BIRCHWOOD HOTEL, JOHANNESBURG, RSA",UNRELATED,,0,0,0,0,12.0,0.22627737226277372,
70.42,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Governance, Risk, and Compliance - Enroll Now!.eml",eml,"Master the Art of Governance, Risk, and Compliance - Enroll Now!",UNRELATED,,0,0,0,0,10.0,0.16421052631578947,
70.11,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Do you want to learn today’s best practices in accounts payable.eml,eml,Do you want to learn today’s best practices in accounts payable,UNRELATED,,0,0,0,0,11.0,0.17114914425427874,
69.67,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day! (1).eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,13.0,0.18666666666666668,
69.17,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Last Reminder to register_ Public Safety & Security Drones Conference.eml,eml,Last Reminder to register: Public Safety & Security Drones Conference,UNRELATED,,0,0,0,0,12.0,0.1716937354988399,
69.14,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Reminder to register_ SMART WATER Technologies.eml,eml,Reminder to register: SMART WATER Technologies,UNRELATED,,0,0,0,0,12.0,0.17136659436008678,
68.93,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day! (3).eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,14.0,0.18930957683741648,
68.57,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\CORPORATE GOVERNANCE EVOLUTION MASTERCLASS ON UNMASKING THE KEY CORPORATE GOVERNANCE.eml,eml,CORPORATE GOVERNANCE EVOLUTION MASTERCLASS ON UNMASKING THE KEY CORPORATE GOVERNANCE,UNRELATED,,0,0,0,0,11.0,0.15570175438596492,
68.33,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Annual GovLaw  Conference .eml,eml,Annual GovLaw  Conference ,UNRELATED,,0,0,0,0,11.0,0.15328467153284672,
68.19,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5th Annual Pension Conference (1).eml,eml,5th Annual Pension Conference,UNRELATED,,0,0,0,0,12.0,0.1619047619047619,
67.96,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\EMPLOYEE HEALTH, WELLNESS & HIV_AIDS CONFERENCE. 16-18 August  2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA.eml",eml,"EMPLOYEE HEALTH, WELLNESS & HIV/AIDS CONFERENCE. 16-18 August  2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA",UNRELATED,,0,0,0,0,16.0,0.19956616052060738,
67.93,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day! (2).eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,15.0,0.18930957683741648,
67.91,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\EMPLOYEE HEALTH, WELLNESS & HIV_AIDS CONFERENCE. 24-26 JULY 2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA.eml",eml,"EMPLOYEE HEALTH, WELLNESS & HIV/AIDS CONFERENCE. 24-26 JULY 2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA",UNRELATED,,0,0,0,0,16.0,0.19911504424778761,
67.71,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\CERTIFIED BUSINESS INTELLIGENCE, DATA REPORTING AND DATA ANALYSIS TRAINING 2023.eml",eml,"CERTIFIED BUSINESS INTELLIGENCE, DATA REPORTING AND DATA ANALYSIS TRAINING 2023",UNRELATED,,0,0,0,0,10.0,0.13706563706563707,
67.7,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\wHY R yOUR eMails aLWAYS full OF mistakes___ (1).eml,eml,wHY R yOUR eMails aLWAYS full OF mistakes???,UNRELATED,,0,0,0,0,11.0,0.14699331848552338,
67.67,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day!.eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,15.0,0.18666666666666668,
67.54,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\GovLaw  Conference .eml,eml,GovLaw  Conference ,UNRELATED,,0,0,0,0,12.0,0.15539305301645337,
67.52,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO (3).eml,eml,15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO,UNRELATED,,0,0,0,0,11.0,0.14516129032258066,
67.33,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO.eml,eml,15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO,UNRELATED,,0,0,0,0,11.0,0.143317230273752,
67.33,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\GovLaw  Conference  (1).eml,eml,GovLaw  Conference ,UNRELATED,,0,0,0,0,12.0,0.15328467153284672,
67.31,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO (2).eml,eml,15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO,UNRELATED,,0,0,0,0,11.0,0.14308426073131955,
67.3,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Budget Preparation, Allocation & Cost Control (1).eml",eml,"Budget Preparation, Allocation & Cost Control",UNRELATED,,0,0,0,0,15.0,0.18303571428571427,
67.23,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Last Reminder_ The Office Professional & Records Management Masterclass.eml,eml,Last Reminder: The Office Professional & Records Management Masterclass,UNRELATED,,0,0,0,0,14.0,0.17225950782997762,
67.2,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Accounts Payable_ From Accounting to Management (1).eml,eml,Accounts Payable: From Accounting to Management,UNRELATED,,0,0,0,0,12.0,0.15201900237529692,
67.17,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Accounts Payable_ From Accounting to Management (2).eml,eml,Accounts Payable: From Accounting to Management,UNRELATED,,0,0,0,0,12.0,0.15165876777251186,
67.12,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Women in Treasury.eml,eml,Women in Treasury,UNRELATED,,0,0,0,0,13.0,0.16122448979591836,
67.09,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\OCCUPATIONAL HEALTH & SAFETY CONFERENCE AUGUST 2023.eml,eml,OCCUPATIONAL HEALTH & SAFETY CONFERENCE AUGUST 2023,UNRELATED,,0,0,0,0,13.0,0.1608695652173913,
66.96,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\The Office Professional & Records Management Masterclass (3).eml,eml,The Office Professional & Records Management Masterclass,UNRELATED,,0,0,0,0,14.0,0.16964285714285715,
66.96,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\The Office Professional & Records Management Masterclass (4).eml,eml,The Office Professional & Records Management Masterclass,UNRELATED,,0,0,0,0,14.0,0.16964285714285715,
66.95,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Let ITC organise and host your Womens Day Event for your Company.eml,eml,Let ITC organise and host your Womens Day Event for your Company,UNRELATED,,0,0,0,0,14.0,0.16952789699570817,
